fid,COD_REG,COD_PROV,COMUNE,COVID,X,Y,DATE
"1,""15"",""62"",Ginestra degli Schiavoni,""0"",15.069,41.274,20200405"
"2,""15"",""62"",Guardia Sanframondi,""2"",14.607,41.275,20200405"
"3,""15"",""62"",Limatola,""0"",14.410,41.142,20200405"
"4,""15"",""62"",Melizzano,""1"",14.493,41.192,20200405"
"5,""15"",""62"",Forchia,""0"",14.531,41.048,20200405"
"6,""15"",""62"",Fragneto l'Abate,""0"",14.776,41.314,20200405"
"7,""15"",""62"",Fragneto Monforte,""0"",14.761,41.265,20200405"
"8,""15"",""62"",Frasso Telesino,""0"",14.535,41.168,20200405"
"9,""15"",""62"",Calvi,""1"",14.923,41.104,20200405"
"10,""15"",""62"",Campolattaro,""0"",14.728,41.319,20200405"
"11,""15"",""62"",Casalduni,""0"",14.658,41.284,20200405"
"12,""15"",""62"",Castelfranco in Miscano,""1"",15.085,41.329,20200405"
"13,""15"",""62"",Paduli,""0"",14.919,41.223,20200405"
"14,""15"",""62"",Airola,""1"",14.593,41.068,20200405"
"15,""15"",""62"",San Bartolomeo in Galdo,""1"",15.017,41.481,20200405"
"16,""15"",""62"",San Giorgio del Sannio,""4"",14.913,41.141,20200405"
"17,""15"",""62"",Pontelandolfo,""1"",14.686,41.315,20200405"
"18,""15"",""62"",Puglianello,""0"",14.471,41.247,20200405"
"19,""15"",""62"",Reino,""0"",14.824,41.339,20200405"
"20,""15"",""62"",Morcone,""1"",14.691,41.411,20200405"
"21,""15"",""62"",Pesco Sannita,""1"",14.854,41.273,20200405"
"22,""15"",""62"",Molinara,""0"",14.922,41.342,20200405"
"23,""15"",""62"",Montefalcone di Val Fortore,""0"",15.049,41.354,20200405"
"24,""15"",""62"",Telese Terme,""1"",14.536,41.219,20200405"
"25,""15"",""62"",Tocco Caudio,""0"",14.574,41.143,20200405"
"26,""15"",""62"",Buonalbergo,""0"",14.996,41.222,20200405"
"27,""15"",""62"",Castelpoto,""1"",14.711,41.149,20200405"
"28,""15"",""62"",Faicchio,""1"",14.492,41.300,20200405"
"29,""15"",""62"",Foglianise,""1"",14.672,41.172,20200405"
"30,""15"",""62"",Foiano di Val Fortore,""0"",15.058,41.372,20200405"
"31,""15"",""62"",Sant'Agata de' Goti,""2"",14.559,41.139,20200405"
